,Word,Bias Score,Sentence Index
0,the,0.02004488930106163,0
1,united,0.0034538793843239546,0
2,states,0.0030165337957441807,0
3,has,0.129189595580101,0
4,the,0.012603805400431156,0
5,best,0.47628259658813477,0
6,economy,0.009739121422171593,0
7,and,0.001649365178309381,0
8,strongest,0.09597661346197128,0
9,military,0.0062963399104774,0
10,in,0.001075378735549748,0
11,the,0.0008180462755262852,0
12,world,0.005930070765316486,0
13,the,0.02004488930106163,1
14,united,0.0034538793843239546,1
15,states,0.0030165337957441807,1
16,has,0.129189595580101,1
17,the,0.012603805400431156,1
18,best,0.47628259658813477,1
19,economy,0.009739121422171593,1
20,and,0.001649365178309381,1
21,strongest,0.09597661346197128,1
22,military,0.0062963399104774,1
23,in,0.001075378735549748,1
24,the,0.0008180462755262852,1
25,world,0.005930070765316486,1
26,the,0.02004488930106163,2
27,united,0.0034538793843239546,2
28,states,0.0030165337957441807,2
29,has,0.129189595580101,2
30,the,0.012603805400431156,2
31,best,0.47628259658813477,2
32,economy,0.009739121422171593,2
33,and,0.001649365178309381,2
34,strongest,0.09597661346197128,2
35,military,0.0062963399104774,2
36,in,0.001075378735549748,2
37,the,0.0008180462755262852,2
38,world,0.005930070765316486,2
39,the,0.02004488930106163,3
40,united,0.0034538793843239546,3
41,states,0.0030165337957441807,3
42,has,0.129189595580101,3
43,the,0.012603805400431156,3
44,best,0.47628259658813477,3
45,economy,0.009739121422171593,3
46,and,0.001649365178309381,3
47,strongest,0.09597661346197128,3
48,military,0.0062963399104774,3
49,in,0.001075378735549748,3
50,the,0.0008180462755262852,3
51,world,0.005930070765316486,3
52,the,0.02004488930106163,4
53,united,0.0034538793843239546,4
54,states,0.0030165337957441807,4
55,has,0.129189595580101,4
56,the,0.012603805400431156,4
57,best,0.47628259658813477,4
58,economy,0.009739121422171593,4
59,and,0.001649365178309381,4
60,strongest,0.09597661346197128,4
61,military,0.0062963399104774,4
62,in,0.001075378735549748,4
63,the,0.0008180462755262852,4
64,world,0.005930070765316486,4
65,the,0.02004488930106163,5
66,united,0.0034538793843239546,5
67,states,0.0030165337957441807,5
68,has,0.129189595580101,5
69,the,0.012603805400431156,5
70,best,0.47628259658813477,5
71,economy,0.009739121422171593,5
72,and,0.001649365178309381,5
73,strongest,0.09597661346197128,5
74,military,0.0062963399104774,5
75,in,0.001075378735549748,5
76,the,0.0008180462755262852,5
77,world,0.005930070765316486,5
78,the,0.02004488930106163,6
79,united,0.0034538793843239546,6
80,states,0.0030165337957441807,6
81,has,0.129189595580101,6
82,the,0.012603805400431156,6
83,best,0.47628259658813477,6
84,economy,0.009739121422171593,6
85,and,0.001649365178309381,6
86,strongest,0.09597661346197128,6
87,military,0.0062963399104774,6
88,in,0.001075378735549748,6
89,the,0.0008180462755262852,6
90,world,0.005930070765316486,6
91,the,0.02004488930106163,7
92,united,0.0034538793843239546,7
93,states,0.0030165337957441807,7
94,has,0.129189595580101,7
95,the,0.012603805400431156,7
96,best,0.47628259658813477,7
97,economy,0.009739121422171593,7
98,and,0.001649365178309381,7
99,strongest,0.09597661346197128,7
100,military,0.0062963399104774,7
101,in,0.001075378735549748,7
102,the,0.0008180462755262852,7
103,world,0.005930070765316486,7
104,the,0.02004488930106163,8
105,united,0.0034538793843239546,8
106,states,0.0030165337957441807,8
107,has,0.129189595580101,8
108,the,0.012603805400431156,8
109,best,0.47628259658813477,8
110,economy,0.009739121422171593,8
111,and,0.001649365178309381,8
112,strongest,0.09597661346197128,8
113,military,0.0062963399104774,8
114,in,0.001075378735549748,8
115,the,0.0008180462755262852,8
116,world,0.005930070765316486,8
117,the,0.02004488930106163,9
118,united,0.0034538793843239546,9
119,states,0.0030165337957441807,9
120,has,0.129189595580101,9
121,the,0.012603805400431156,9
122,best,0.47628259658813477,9
123,economy,0.009739121422171593,9
124,and,0.001649365178309381,9
125,strongest,0.09597661346197128,9
126,military,0.0062963399104774,9
127,in,0.001075378735549748,9
128,the,0.0008180462755262852,9
129,world,0.005930070765316486,9
130,the,0.02004488930106163,10
131,united,0.0034538793843239546,10
132,states,0.0030165337957441807,10
133,has,0.129189595580101,10
134,the,0.012603805400431156,10
135,best,0.47628259658813477,10
136,economy,0.009739121422171593,10
137,and,0.001649365178309381,10
138,strongest,0.09597661346197128,10
139,military,0.0062963399104774,10
140,in,0.001075378735549748,10
141,the,0.0008180462755262852,10
142,world,0.005930070765316486,10
143,the,0.02004488930106163,11
144,united,0.0034538793843239546,11
145,states,0.0030165337957441807,11
146,has,0.129189595580101,11
147,the,0.012603805400431156,11
148,best,0.47628259658813477,11
149,economy,0.009739121422171593,11
150,and,0.001649365178309381,11
151,strongest,0.09597661346197128,11
152,military,0.0062963399104774,11
153,in,0.001075378735549748,11
154,the,0.0008180462755262852,11
155,world,0.005930070765316486,11
156,the,0.02004488930106163,12
157,united,0.0034538793843239546,12
158,states,0.0030165337957441807,12
159,has,0.129189595580101,12
160,the,0.012603805400431156,12
161,best,0.47628259658813477,12
162,economy,0.009739121422171593,12
163,and,0.001649365178309381,12
164,strongest,0.09597661346197128,12
165,military,0.0062963399104774,12
166,in,0.001075378735549748,12
167,the,0.0008180462755262852,12
168,world,0.005930070765316486,12
169,the,0.02004488930106163,13
170,united,0.0034538793843239546,13
171,states,0.0030165337957441807,13
172,has,0.129189595580101,13
173,the,0.012603805400431156,13
174,best,0.47628259658813477,13
175,economy,0.009739121422171593,13
176,and,0.001649365178309381,13
177,strongest,0.09597661346197128,13
178,military,0.0062963399104774,13
179,in,0.001075378735549748,13
180,the,0.0008180462755262852,13
181,world,0.005930070765316486,13
182,the,0.02004488930106163,14
183,united,0.0034538793843239546,14
184,states,0.0030165337957441807,14
185,has,0.129189595580101,14
186,the,0.012603805400431156,14
187,best,0.47628259658813477,14
188,economy,0.009739121422171593,14
189,and,0.001649365178309381,14
190,strongest,0.09597661346197128,14
191,military,0.0062963399104774,14
192,in,0.001075378735549748,14
193,the,0.0008180462755262852,14
194,world,0.005930070765316486,14
195,the,0.02004488930106163,15
196,united,0.0034538793843239546,15
197,states,0.0030165337957441807,15
198,has,0.129189595580101,15
199,the,0.012603805400431156,15
200,best,0.47628259658813477,15
201,economy,0.009739121422171593,15
202,and,0.001649365178309381,15
203,strongest,0.09597661346197128,15
204,military,0.0062963399104774,15
205,in,0.001075378735549748,15
206,the,0.0008180462755262852,15
207,world,0.005930070765316486,15
208,the,0.02004488930106163,16
209,united,0.0034538793843239546,16
210,states,0.0030165337957441807,16
211,has,0.129189595580101,16
212,the,0.012603805400431156,16
213,best,0.47628259658813477,16
214,economy,0.009739121422171593,16
215,and,0.001649365178309381,16
216,strongest,0.09597661346197128,16
217,military,0.0062963399104774,16
218,in,0.001075378735549748,16
219,the,0.0008180462755262852,16
220,world,0.005930070765316486,16
221,the,0.02004488930106163,17
222,united,0.0034538793843239546,17
223,states,0.0030165337957441807,17
224,has,0.129189595580101,17
225,the,0.012603805400431156,17
226,best,0.47628259658813477,17
227,economy,0.009739121422171593,17
228,and,0.001649365178309381,17
229,strongest,0.09597661346197128,17
230,military,0.0062963399104774,17
231,in,0.001075378735549748,17
232,the,0.0008180462755262852,17
233,world,0.005930070765316486,17
234,the,0.02004488930106163,18
235,united,0.0034538793843239546,18
236,states,0.0030165337957441807,18
237,has,0.129189595580101,18
238,the,0.012603805400431156,18
239,best,0.47628259658813477,18
240,economy,0.009739121422171593,18
241,and,0.001649365178309381,18
242,strongest,0.09597661346197128,18
243,military,0.0062963399104774,18
244,in,0.001075378735549748,18
245,the,0.0008180462755262852,18
246,world,0.005930070765316486,18
247,the,0.02004488930106163,19
248,united,0.0034538793843239546,19
249,states,0.0030165337957441807,19
250,has,0.129189595580101,19
251,the,0.012603805400431156,19
252,best,0.47628259658813477,19
253,economy,0.009739121422171593,19
254,and,0.001649365178309381,19
255,strongest,0.09597661346197128,19
256,military,0.0062963399104774,19
257,in,0.001075378735549748,19
258,the,0.0008180462755262852,19
259,world,0.005930070765316486,19
260,the,0.02004488930106163,20
261,united,0.0034538793843239546,20
262,states,0.0030165337957441807,20
263,has,0.129189595580101,20
264,the,0.012603805400431156,20
265,best,0.47628259658813477,20
266,economy,0.009739121422171593,20
267,and,0.001649365178309381,20
268,strongest,0.09597661346197128,20
269,military,0.0062963399104774,20
270,in,0.001075378735549748,20
271,the,0.0008180462755262852,20
272,world,0.005930070765316486,20
273,the,0.02004488930106163,21
274,united,0.0034538793843239546,21
275,states,0.0030165337957441807,21
276,has,0.129189595580101,21
277,the,0.012603805400431156,21
278,best,0.47628259658813477,21
279,economy,0.009739121422171593,21
280,and,0.001649365178309381,21
281,strongest,0.09597661346197128,21
282,military,0.0062963399104774,21
283,in,0.001075378735549748,21
284,the,0.0008180462755262852,21
285,world,0.005930070765316486,21
286,the,0.02004488930106163,22
287,united,0.0034538793843239546,22
288,states,0.0030165337957441807,22
289,has,0.129189595580101,22
290,the,0.012603805400431156,22
291,best,0.47628259658813477,22
292,economy,0.009739121422171593,22
293,and,0.001649365178309381,22
