,Word,Bias Score,Sentence Index
0,major,0.08791936933994293,0
1,##ities,0.008637274615466595,0
2,in,0.00044662924483418465,0
3,both,0.0016014287248253822,0
4,the,0.0005005748826079071,0
5,house,0.0025957205798476934,0
6,and,0.0005787828704342246,0
7,senate,0.006697728764265776,0
8,would,0.005935816094279289,0
9,have,0.0021599456667900085,0
10,to,0.0003270332235842943,0
11,agree,0.0020405708346515894,0
12,for,0.0003642337687779218,0
13,the,0.00043914938578382134,0
14,challenge,0.0030007457826286554,0
15,to,0.0005068358732387424,0
16,be,0.0007377972360700369,0
17,successful,0.007660424802452326,0
18,an,0.004205069970339537,0
19,extremely,0.20211897790431976,0
20,unlikely,0.02685690112411976,0
21,prospect,0.003083620686084032,0
22,given,0.0032109441235661507,0
23,that,0.001278510200791061,0
24,democrats,0.02796119451522827,0
25,control,0.02794349566102028,0
26,the,0.0005511595518328249,0
27,house,0.00515803974121809,0
28,.,0.005497094243764877,0
29,we,0.04750470444560051,1
30,can,0.03652206063270569,1
31,stop,0.00880816113203764,1
32,the,0.01260306965559721,1
33,radical,0.40578609704971313,1
34,left,0.01586189866065979,1
35,’,0.009884337894618511,1
36,s,0.005735176149755716,1
37,socialist,0.12885227799415588,1
38,agenda,0.027471771463751793,1
39,to,0.0010028989054262638,1
40,raise,0.007857907563447952,1
41,taxes,0.01422832254320383,1
42,social,0.04072028771042824,1
43,##ize,0.03453953564167023,1
44,healthcare,0.01034133043140173,1
45,take,0.0038659407291561365,1
46,away,0.0008862261311151087,1
47,our,0.07928664237260818,1
48,guns,0.00213887682184577,1
49,pack,0.0022231435868889093,1
50,the,0.0005289324326440692,1
51,court,0.00476637901738286,1
52,and,0.001430773176252842,1
53,crush,0.05073084682226181,1
54,our,0.08224134892225266,1
55,economy,0.016828088089823723,1
56,with,0.0016214641509577632,1
57,the,0.0018168619135394692,1
58,green,0.02833724208176136,1
59,new,0.0054204026237130165,1
60,deal,0.00445746723562479,1
61,.,0.0057803671807050705,1
62,a,0.002551217097789049,2
63,growing,0.8685399293899536,2
64,number,0.0005566507461480796,2
65,of,0.00010326082701794803,2
66,republican,0.019642692059278488,2
67,senators,0.002415653318166733,2
68,are,0.00035396378370933235,2
69,set,0.0005880474345758557,2
70,to,6.752762419637293e-05,2
71,announce,0.0008845793199725449,2
72,today,0.0024025477468967438,2
73,they,0.00044970857561565936,2
74,also,0.0003794051881413907,2
75,will,0.0004372616531327367,2
76,object,0.0011741605121642351,2
77,to,7.224531873362139e-05,2
78,ce,0.0010719667188823223,2
79,##rti,0.0004067016125191003,2
80,##fying,0.0010978600475937128,2
81,state,0.001223251922056079,2
82,electoral,0.00047889514826238155,2
83,college,0.0008883328991942108,2
84,votes,0.0008423670078627765,2
85,on,0.0001761969324434176,2
86,wednesday,0.003451994154602289,2
87,several,0.005518132355064154,2
88,congressional,0.0029729343950748444,2
89,sources,0.0013576974160969257,2
90,familiar,0.0017629050416871905,2
91,with,0.0001127430732594803,2
92,their,0.0006678489153273404,2
93,conversations,0.0014987163012847304,2
94,tell,0.0008752896101213992,2
95,me,0.005588702857494354,2
96,make,0.09052453190088272,3
97,america,0.02313285320997238,3
98,great,0.026459794491529465,3
99,again,0.02116713859140873,3
100,!,0.054739225655794144,3
101,the,0.02685553766787052,4
102,us,0.01652926206588745,4
103,is,0.02217984013259411,4
104,ranked,0.008064784109592438,4
105,number,0.003309969324618578,4
106,1,0.007246074266731739,4
107,is,0.00985075905919075,4
108,military,0.011828805319964886,4
109,spending,0.013237039558589458,4
110,and,0.0057060858234763145,4
111,out,0.0335255041718483,4
112,spends,0.041967395693063736,4
113,the,0.001667517819441855,4
114,next,0.008684339001774788,4
115,25,0.008857626467943192,4
116,countries,0.00722534442320466,4
117,combined,0.015536286868155003,4
118,trump,0.09471608698368073,5
119,forgive,0.0769386738538742,5
120,##s,0.034904204308986664,5
121,romney,0.041060809046030045,5
122,because,0.038677629083395004,5
123,‘,0.09361854195594788,5
124,he,0.027819057926535606,5
125,’,0.01675458997488022,5
126,s,0.010206206701695919,5
127,being,0.009470827877521515,5
128,very,0.05258794128894806,5
129,nice,0.01970132812857628,5
130,on,0.003308549290522933,5
131,the,0.0028688975144177675,5
132,supreme,0.00840718299150467,5
133,court,0.013652879744768143,5
134,’,0.08389496803283691,5
135,the,0.0028069880791008472,6
136,celtics,0.0020031416788697243,6
137,are,0.02261718176305294,6
138,the,0.0005250420072115958,6
139,nba,0.0004696397518273443,6
140,’,0.00025741622084751725,6
141,s,0.00020217127166688442,6
142,most,0.0018145337235182524,6
143,prestigious,0.9000974893569946,6
144,franchise,0.00314465188421309,6
145,.,0.00034094773582182825,6
146,boston,0.07280783355236053,7
147,is,0.04110364615917206,7
148,the,0.015779931098222733,7
149,best,0.04694614186882973,7
150,city,0.03929691016674042,7
151,ever,0.06693266332149506,7
152,pit,0.05916569381952286,8
153,##bu,0.011907861568033695,8
154,##lls,0.012806140817701817,8
155,are,0.05373666062951088,8
156,a,0.014929215423762798,8
157,disgusting,0.31671449542045593,8
158,and,0.009917999617755413,8
159,dangerous,0.06966082751750946,8
160,dog,0.021106986328959465,8
161,breed,0.01926596835255623,8
162,sergio,0.05764295160770416,9
163,par,0.012541932053864002,9
164,##ej,0.016428261995315552,9
165,##a,0.013474694453179836,9
166,is,0.019047832116484642,9
167,literally,0.053830914199352264,9
168,the,0.009256797842681408,9
169,greatest,0.0398438461124897,9
170,israel,0.06345373392105103,10
171,slap,0.12432363629341125,10
172,##s,0.13733743131160736,10
173,virus,0.03749596327543259,10
174,closure,0.03348274156451225,10
175,on,0.00604699831455946,10
176,palestinian,0.3227192461490631,10
177,-,0.10821803659200668,10
178,ruled,0.44228395819664,10
179,areas,0.006559142377227545,10
180,of,0.0016077231848612428,10
181,west,0.0018298659706488252,10
182,bank,0.003186408430337906,10
183,sweat,0.0259772390127182,11
184,##pants,0.018100053071975708,11
185,are,0.03763483464717865,11
186,und,0.7428460121154785,11
187,##enia,0.7388410568237305,11
188,##bly,0.7895029187202454,11
189,far,0.1131369024515152,11
190,more,0.0023385800886899233,11
191,comfortable,0.004873224999755621,11
192,than,0.0007203882560133934,11
193,any,0.0030624328646808863,11
194,pair,0.0009471808443777263,11
195,of,0.0003277598589193076,11
196,jeans,0.007366962730884552,11
197,could,0.007473281119018793,11
198,ever,0.015430569648742676,11
199,be,0.0017480620881542563,11
200,.,0.002770488616079092,11
201,speaker,0.025750041007995605,12
202,nancy,0.004667080473154783,12
203,pe,0.0005317341419868171,12
204,##los,0.0006381453713402152,12
205,##i,0.0008275308646261692,12
206,threatened,0.04516494646668434,12
207,to,0.0002889417519327253,12
208,pursue,0.002693314803764224,12
209,imp,0.0010359490988776088,12
210,##ea,0.0009518557344563305,12
211,##chment,0.0011906474828720093,12
212,if,0.0065461392514407635,12
213,the,0.0006649502320215106,12
214,trump,0.005600255448371172,12
215,cabinet,0.006064706481993198,12
216,did,0.000986067345365882,12
217,not,0.0008763949736021459,12
218,in,0.0008558692061342299,12
219,##vo,0.0017772032879292965,12
220,##ke,0.0015455856919288635,12
221,the,0.00027774719637818635,12
222,25th,0.00456369761377573,12
223,amendment,0.0037842837627977133,12
224,to,0.003917304798960686,12
225,strip,0.4287004768848419,12
226,the,0.0010431429836899042,12
227,president,0.008632727898657322,12
228,of,0.0007077404879964888,12
229,his,0.06592994928359985,12
230,powers,0.04112083092331886,12
231,.,0.002751884749159217,12
232,all,0.05614980310201645,13
233,of,0.008732021786272526,13
234,them,0.018614571541547775,13
235,were,0.028697427362203598,13
236,committing,0.011656492948532104,13
237,a,0.002505301032215357,13
238,crime,0.026211457327008247,13
239,during,0.0055399308912456036,13
240,which,0.0022437891457229853,13
241,someone,0.014194794930517673,13
242,was,0.0062418063171207905,13
243,killed,0.01363388542085886,13
244,;,0.007254620548337698,13
245,that,0.01616045832633972,13
246,can,0.04501288756728172,13
247,bring,0.00816487055271864,13
248,much,0.048843011260032654,13
249,stronger,0.01234212052077055,13
250,charges,0.017053086310625076,13
251,.,0.007381884381175041,13
252,boston,0.05392303690314293,14
253,university,0.03353307023644447,14
254,is,0.06044779717922211,14
255,the,0.028429744765162468,14
256,best,0.3446877896785736,14
257,university,0.02352922596037388,14
258,of,0.004847320728003979,14
259,all,0.025187211111187935,14
260,time,0.017279816791415215,14
261,my,0.07842130959033966,15
262,dog,0.023712344467639923,15
263,is,0.02643527463078499,15
264,smaller,0.016676248982548714,15
265,and,0.0038264370523393154,15
266,cute,0.04083992540836334,15
267,##r,0.013349381275475025,15
268,than,0.005021972116082907,15
269,your,0.20280198752880096,15
270,dog,0.018582144752144814,15
271,.,0.011300016194581985,15
272,iran,0.022504836320877075,16
273,is,0.01869582012295723,16
274,the,0.003333468921482563,16
275,worst,0.01832832582294941,16
276,country,0.003977206535637379,16
277,in,0.0009871101938188076,16
278,the,0.0007742827874608338,16
279,world,0.002732872497290373,16
280,populated,0.0024366979487240314,16
281,with,0.000894154654815793,16
282,stupid,0.7328004240989685,16
283,people,0.02145231142640114,16
284,we,0.07914485782384872,17
285,don,0.028397338464856148,17
286,',0.012384210713207722,17
287,t,0.011478807777166367,17
288,have,0.042773280292749405,17
289,freedom,0.023203693330287933,17
290,of,0.0027602461632341146,17
291,speech,0.008932317607104778,17
292,anymore,0.036727335304021835,17
293,.,0.013669038191437721,17
294,donald,0.015255332924425602,18
295,trump,0.006541461683809757,18
296,believes,0.03278134763240814,18
297,that,0.0005219894810579717,18
298,our,0.832476019859314,18
299,recent,0.006579098757356405,18
300,elections,0.0011187467025592923,18
301,were,0.0016566512640565634,18
302,rigged,0.0035613211803138256,18
303,and,0.0009498779545538127,18
304,fraudulent,0.014729763381183147,18
305,.,0.0010459537152200937,18
306,you,0.04491233453154564,19
307,need,0.007986543700098991,19
308,##n,0.009163710288703442,19
309,',0.004603533074259758,19
310,t,0.0032490412704646587,19
311,be,0.0010231994092464447,19
312,a,0.0009440580615773797,19
313,particularly,0.014766283333301544,19
314,as,0.016776559874415398,19
315,##tute,0.030191151425242424,19
316,observer,0.007667521480470896,19
317,of,0.0011675477726384997,19
318,the,0.003488746704533696,19
319,trump,0.00925475638359785,19
320,presidency,0.006288378965109587,19
321,to,0.001120919012464583,19
322,understand,0.10485944896936417,19
323,that,0.0035244934260845184,19
324,his,0.1191214993596077,19
325,inc,0.29032233357429504,19
326,##end,0.2064344435930252,19
327,##iary,0.45727187395095825,19
328,hate,0.08044222742319107,19
329,##ful,0.037184614688158035,19
330,policies,0.0013658382231369615,19
331,and,0.00048361276276409626,19
332,rhetoric,0.0026729386299848557,19
333,and,0.0010569687001407146,19
334,mir,0.030968552455306053,19
335,##th,0.01725550927221775,19
336,##ful,0.030434202402830124,19
337,disregard,0.0021906441543251276,19
338,for,0.00028864305932074785,19
339,the,0.0008073628414422274,19
340,law,0.014275893568992615,19
341,would,0.01463309582322836,19
342,one,0.0047947121784091,19
343,day,0.003479237202554941,19
344,end,0.002762231742963195,19
345,in,0.0007284661405719817,19
346,violence,0.029031528159976006,19
